groupID	country	risk	grade	outcome	donationSum
G01	china	0%	1	failed	44
G02	china	100%	1	success	122
G03	china	50%	1	success	110
G04	china	100%	1	success	84
G05	china	100%	1	success	42
G06	china	0%	1	failed	78
G07	china	50%	1	success	22
G08	china	50%	1	success	88
G09	china	0%	1	failed	102
G10	china	50%	1	success	144
G11	china	100%	1	success	42
G12	china	0%	1	failed	130
G13	china	100%	2	success	22
G14	china	50%	2	success	102
G15	china	0%	2	failed	82
G16	china	100%	2	success	34
G17	china	100%	2	success	128
G18	china	0%	2	failed	80
G19	china	50%	2	success	84
G20	china	50%	2	success	92
G21	china	50%	2	success	92
G22	china	100%	2	success	102
G23	china	0%	2	success	92
G24	china	0%	2	success	50
G25	china	0%	3	failed	62
G26	china	50%	3	success	112
G27	china	50%	3	success	90
G28	china	100%	3	success	112
G29	china	0%	3	success	136
G30	china	100%	3	success	104
G31	china	50%	3	success	100
G32	china	0%	3	success	118
G33	china	0%	3	success	84
G34	china	50%	3	success	86
G35	china	100%	3	success	82
G36	china	100%	3	success	76
H001	drc	100%	2	success	110
H003	drc	100%	1	success	84
H004	drc	0%	1	failed	70
H005	drc	0%	2	failed	64
H006	drc	0%	1	failed	60
H007	drc	100%	3	success	72
H008	drc	100%	3	success	78
H009	drc	0%	3	success	72
H010	drc	100%	3	failed	66
H011	drc	0%	3	failed	60
H012	drc	0%	3	success	74
H013	drc	100%	3	failed	80
H014	drc	50%	3	success	74
H015	drc	50%	2	failed	64
H016	drc	50%	3	failed	58
H020	drc	0%	2	failed	24
H021	drc	50%	2	failed	42
H023	drc	50%	2	success	80
H024	drc	0%	2	success	86
H025	drc	50%	1	success	76
H026	drc	50%	1	success	110
H027	drc	50%	1	success	88
H030	drc	100%	2	success	100
H031	drc	0%	2	failed	28
H032	drc	100%	2	failed	40
H035	drc	100%	2	success	108
H036	drc	50%	2	failed	20
H037	drc	50%	2	failed	68
H038	drc	100%	2	failed	16
H039	drc	0%	2	failed	4
J001	usa	0%	2	success	84
J002	usa	100%	2	success	80
J003	usa	0%	3	success	82
J004	usa	50%	1	success	98
J005	usa	100%	2	success	110
J006	usa	50%	3	success	92
J007	usa	0%	2	success	78
J008	usa	100%	2	success	78
J009	usa	0%	2	success	72
J010	usa	50%	2	success	94
J011	usa	0%	1	failed	12
J012	usa	100%	1	success	92
J013	usa	0%	1	failed	48
J014	usa	50%	1	failed	36
J015	usa	50%	1	failed	38
J016	usa	50%	2	success	98
J017	usa	100%	3	success	126
J018	usa	100%	1	success	72
J019	usa	50%	3	success	76
J020	usa	0%	1	failed	40
J021	usa	100%	3	success	94
J022	usa	0%	2	failed	6
J023	usa	50%	2	success	78
J024	usa	100%	1	success	76
J025	usa	0%	1	failed	32
J026	usa	100%	1	success	104
J027	usa	50%	1	success	78
J028	usa	0%	3	failed	60
J029	usa	100%	2	success	98
J030	usa	50%	3	success	106
J031	usa	0%	2	success	80
J032	usa	50%	2	success	74
J033	usa	100%	3	success	88
J034	usa	0%	3	success	92
J035	usa	100%	3	success	82
J036	usa	50%	2	success	78
